gamma,lr_policy,lr_baseline,baseline,hidden,best_score
0.9,0.01,0.0001,dynamic,128,9.41
0.9,0.01,0.0005,0,32,11.33
0.9,0.01,0.0005,0,64,23.18
0.9,0.01,0.0005,0,128,6.99
0.9,0.01,0.0005,20,32,34.2
0.9,0.01,0.0005,20,64,71.9
0.9,0.01,0.0005,20,128,55.91
0.9,0.01,0.0005,dynamic,32,130.93
0.9,0.01,0.0005,dynamic,64,24.73
0.9,0.01,0.0005,dynamic,128,8.68
0.9,0.01,0.01,0,32,6.86
0.9,0.01,0.01,0,64,13.88
0.9,0.01,0.01,0,128,9.24
0.9,0.01,0.01,20,32,39.18
0.9,0.01,0.01,20,64,121.18
0.9,0.01,0.01,20,128,73.6
0.9,0.01,0.01,dynamic,32,12.43
0.9,0.01,0.01,dynamic,64,56.63
0.9,0.01,0.01,dynamic,128,41.15
0.99,0.001,0.001,0,32,32.18
0.99,0.001,0.001,0,64,128.28
0.99,0.001,0.001,0,128,153.23
0.99,0.001,0.001,20,32,153.17
0.99,0.001,0.001,20,64,146.11
0.99,0.001,0.001,20,128,206.38
0.99,0.001,0.001,dynamic,32,131.47
0.99,0.001,0.001,dynamic,64,501.2
0.99,0.001,0.001,dynamic,128,67.0
0.99,0.001,0.0001,0,32,96.87
0.99,0.001,0.0001,0,64,54.54
0.99,0.001,0.0001,0,128,20.89
0.99,0.001,0.0001,20,32,170.56
0.99,0.001,0.0001,20,64,169.67
0.99,0.001,0.0001,20,128,169.79
0.99,0.001,0.0001,dynamic,32,13.48
0.99,0.001,0.0001,dynamic,64,378.59
0.99,0.001,0.0001,dynamic,128,17.81
0.99,0.001,0.0005,0,32,30.55
0.99,0.001,0.0005,0,64,67.53
0.99,0.001,0.0005,0,128,39.04
0.99,0.001,0.0005,20,32,148.52
0.99,0.001,0.0005,20,64,196.15
0.99,0.001,0.0005,20,128,158.11
0.99,0.001,0.0005,dynamic,32,66.28
0.99,0.001,0.0005,dynamic,64,76.44
0.99,0.001,0.0005,dynamic,128,12.35
0.99,0.001,0.01,0,32,79.02
0.99,0.001,0.01,0,64,14.76
0.99,0.001,0.01,0,128,16.28
0.99,0.001,0.01,20,32,171.26
0.99,0.001,0.01,20,64,152.97
0.99,0.001,0.01,20,128,172.63
0.99,0.001,0.01,dynamic,32,117.63
0.99,0.001,0.01,dynamic,64,284.35
0.99,0.001,0.01,dynamic,128,485.72
0.99,0.0001,0.001,0,32,30.13
0.99,0.0001,0.001,0,64,17.47
0.99,0.0001,0.001,0,128,6.76
0.99,0.0001,0.001,20,32,146.26
0.99,0.0001,0.001,20,64,146.38
0.99,0.0001,0.001,20,128,183.08
0.99,0.0001,0.001,dynamic,32,83.1
0.99,0.0001,0.001,dynamic,64,125.2
0.99,0.0001,0.001,dynamic,128,244.95
0.99,0.0001,0.0001,0,32,71.85
0.99,0.0001,0.0001,0,64,168.17
0.99,0.0001,0.0001,0,128,52.6
0.99,0.0001,0.0001,20,32,146.4
0.99,0.0001,0.0001,20,64,146.62
0.99,0.0001,0.0001,20,128,163.61
0.99,0.0001,0.0001,dynamic,32,74.49
0.99,0.0001,0.0001,dynamic,64,24.3
0.99,0.0001,0.0001,dynamic,128,94.09
0.99,0.0001,0.0005,0,32,94.41
0.99,0.0001,0.0005,0,64,90.49
0.99,0.0001,0.0005,0,128,9.16
0.99,0.0001,0.0005,20,32,145.0
0.99,0.0001,0.0005,20,64,122.12
0.99,0.0001,0.0005,20,128,142.4
0.99,0.0001,0.0005,dynamic,32,63.13
0.99,0.0001,0.0005,dynamic,64,175.66
0.99,0.0001,0.0005,dynamic,128,233.39
0.99,0.0001,0.01,0,32,13.42
0.99,0.0001,0.01,0,64,133.29
0.99,0.0001,0.01,0,128,261.77
0.99,0.0001,0.01,20,32,171.48
0.99,0.0001,0.01,20,64,166.72
0.99,0.0001,0.01,20,128,157.59
0.99,0.0001,0.01,dynamic,32,81.98
0.99,0.0001,0.01,dynamic,64,82.85
0.99,0.0001,0.01,dynamic,128,133.97
0.99,0.0005,0.001,0,32,25.48
0.99,0.0005,0.001,0,64,80.16
0.99,0.0005,0.001,0,128,55.22
0.99,0.0005,0.001,20,32,168.43
0.99,0.0005,0.001,20,64,183.07
0.99,0.0005,0.001,20,128,157.41
0.99,0.0005,0.001,dynamic,32,27.82
0.99,0.0005,0.001,dynamic,64,24.31
0.99,0.0005,0.001,dynamic,128,269.84
0.99,0.0005,0.0001,0,32,48.89
0.99,0.0005,0.0001,0,64,23.04
0.99,0.0005,0.0001,0,128,12.18
0.99,0.0005,0.0001,20,32,183.11
0.99,0.0005,0.0001,20,64,103.11
0.99,0.0005,0.0001,20,128,183.77
0.99,0.0005,0.0001,dynamic,32,60.03
0.99,0.0005,0.0001,dynamic,64,117.03
0.99,0.0005,0.0001,dynamic,128,501.26
0.99,0.0005,0.0005,0,32,49.23
0.99,0.0005,0.0005,0,64,47.42
0.99,0.0005,0.0005,0,128,36.1
0.99,0.0005,0.0005,20,32,64.0
0.99,0.0005,0.0005,20,64,172.06
0.99,0.0005,0.0005,20,128,176.51
0.99,0.0005,0.0005,dynamic,32,30.6
0.99,0.0005,0.0005,dynamic,64,60.97
0.99,0.0005,0.0005,dynamic,128,152.79
0.99,0.0005,0.01,0,32,64.82
0.99,0.0005,0.01,0,64,12.15
0.99,0.0005,0.01,0,128,17.86
0.99,0.0005,0.01,20,32,168.58
0.99,0.0005,0.01,20,64,149.13
0.99,0.0005,0.01,20,128,118.26
0.99,0.0005,0.01,dynamic,32,174.93
0.99,0.0005,0.01,dynamic,64,214.79
0.99,0.0005,0.01,dynamic,128,171.53
0.99,0.01,0.001,0,32,10.79
0.99,0.01,0.001,0,64,25.59
0.99,0.01,0.001,0,128,52.46
0.99,0.01,0.001,20,32,167.91
0.99,0.01,0.001,20,64,236.83
0.99,0.01,0.001,20,128,187.38
0.99,0.01,0.001,dynamic,32,18.8
0.99,0.01,0.001,dynamic,64,8.3
0.99,0.01,0.001,dynamic,128,52.52
0.99,0.01,0.0001,0,32,13.38
0.99,0.01,0.0001,0,64,16.18
0.99,0.01,0.0001,0,128,7.08
0.99,0.01,0.0001,20,32,175.72
0.99,0.01,0.0001,20,64,71.62
0.99,0.01,0.0001,20,128,173.28
